Manufacturer,Model&Make,Mark
Casio,EX-FH100,NA
Canon,EOS 1000D,NA
Canon,EOS 100D,NA
Canon,EOS 10D,NA
Canon,EOS 1100D,NA
Canon,EOS 1200D,NA
Canon,EOS 1300D,NA
Canon,EOS 1500D,NA
Canon,EOS 200D,NA
Canon,EOS 20D,NA
Canon,EOS 20Da,NA
Canon,EOS 250D,NA
Canon,EOS 3000D,NA
Canon,EOS 300D,NA
Canon,EOS 30D,NA
Canon,EOS 350D,NA
Canon,EOS 400D,NA
Canon,EOS 40D,NA
Canon,EOS 450D,NA
Canon,EOS 500D,NA
Canon,EOS 50D,NA
Canon,EOS 550D,NA
Canon,EOS 5D,NA
Canon,EOS 5D,II,T_10min.csv
Canon,EOS 5D,III
Canon,EOS 5D,IV
Canon,EOS 5DS,NA
Canon,EOS 5DS R,NA
Canon,EOS 600D,NA
Canon,EOS 60D,NA
Canon,EOS 60Da,NA
Canon,EOS 650D,NA
Canon,EOS 6D,NA
Canon,EOS 6D,II
Canon,EOS 700D,NA
Canon,EOS 70D,NA
Canon,EOS 750D,NA
Canon,EOS 760D,NA
Canon,EOS 77D,NA
Canon,EOS 7D,NA
Canon,EOS 7D,II
Canon,EOS 800D,NA
Canon,EOS 80D,NA
Canon,EOS 850D,NA
Canon,EOS 90D,NA
Canon,EOS D30,NA
Canon,EOS D60,NA
Canon,EOS M,NA
Canon,EOS M10,NA
Canon,EOS M100,NA
Canon,EOS M2,NA
Canon,EOS M200,NA
Canon,EOS M3,NA
Canon,EOS M5,NA
Canon,EOS M50,NA
Canon,EOS M50,II
Canon,EOS M6,NA
Canon,EOS M6,II
Canon,EOS R,NA
Canon,EOS R10,NA
Canon,EOS R3,NA
Canon,EOS R5,NA
Canon,EOS R5 C,NA
Canon,EOS R6,NA
Canon,EOS R6,II
Canon,EOS R7,NA
Canon,EOS RP,NA
Canon,EOS Ra,NA
Canon,EOS-1D,NA
Canon,EOS-1D C,NA
Canon,EOS-1D,II
Canon,EOS-1D,II N
Canon,EOS-1D,III
Canon,EOS-1D,IV
Canon,EOS-1D X,NA
Canon,EOS-1D X,II
Canon,EOS-1D X,III
Canon,EOS-1Ds,NA
Canon,EOS-1Ds,II
Canon,EOS-1Ds,III
Canon,PowerShot G1 X,NA
Canon,PowerShot G1 X,II
Canon,PowerShot G1 X,III
Canon,PowerShot G10,NA
Canon,PowerShot G11,NA
Canon,PowerShot G12,NA
Canon,PowerShot G15,NA
Canon,PowerShot G16,NA
Canon,PowerShot G2,NA
Canon,PowerShot G3,NA
Canon,PowerShot G3 X,NA
Canon,PowerShot G5,NA
Canon,PowerShot G5 X,NA
Canon,PowerShot G5 X,II
Canon,PowerShot G6,NA
Canon,PowerShot G7 X,NA
Canon,PowerShot G7 X,II
Canon,PowerShot G7 X,III
Canon,PowerShot G9,NA
Canon,PowerShot G9 X,NA
Canon,PowerShot G9 X Mark II,II
Canon,PowerShot Pro1,NA
Canon,PowerShot S100,NA
Canon,PowerShot S110,NA
Canon,PowerShot S120,NA
Canon,PowerShot S30,NA
Canon,PowerShot S40,NA
Canon,PowerShot S45,NA
Canon,PowerShot S50,NA
Canon,PowerShot S60,NA
Canon,PowerShot S70,NA
Canon,PowerShot S90,NA
Canon,PowerShot S95,NA
Canon,PowerShot SX1 IS,NA
Canon,PowerShot SX50 HS,NA
Canon,PowerShot SX60 HS,NA
Canon,PowerShot SX70 HS,NA
Casio,EX-F1,NA
Contax,N Digital,NA
DJI,FC3411,NA
DJI,FC7303,NA
DXO,ONE,NA
Epson,R-D1,NA
Epson,R-D1s,NA
Epson,R-D1x,NA
Fujifilm,X100T,NA
Fujifilm,FinePix E550,NA
Fujifilm,FinePix E900,NA
Fujifilm,FinePix F550EXR,NA
Fujifilm,FinePix F600EXR,NA
Fujifilm,FinePix F700,NA
Fujifilm,FinePix F710,NA
Fujifilm,FinePix F770EXR,NA
Fujifilm,FinePix F800EXR,NA
Fujifilm,FinePix F810,NA
Fujifilm,FinePix F900EXR,NA
Fujifilm,FinePix HS10 HS11,NA
Fujifilm,FinePix HS20EXR,NA
Fujifilm,FinePix HS30EXR,NA
Fujifilm,FinePix HS50EXR,NA
Fujifilm,FinePix S1,NA
Fujifilm,FinePix S100FS,NA
Fujifilm,FinePix S200EXR,NA
Fujifilm,FinePix S20Pro,NA
Fujifilm,FinePix S2Pro,NA
Fujifilm,FinePix S3Pro,NA
Fujifilm,FinePix S5000,NA
Fujifilm,FinePix S5100,NA
Fujifilm,FinePix S5200,NA
Fujifilm,FinePix S5500,NA
Fujifilm,FinePix S5Pro,NA
Fujifilm,FinePix S6000fd,NA
Fujifilm,FinePix S7000,NA
Fujifilm,FinePix S9000,NA
Fujifilm,FinePix S9100,NA
Fujifilm,FinePix SL1000,NA
Fujifilm,FinePix X10,NA
Fujifilm,FinePix X100,NA
Fujifilm,GFX 100,NA
Fujifilm,GFX 100 IR,NA
Fujifilm,GFX 100S,NA
Fujifilm,GFX 50R,NA
Fujifilm,GFX 50S,NA
Fujifilm,GFX 50S,II
Fujifilm,IS-1,NA
Fujifilm,X-A1,NA
Fujifilm,X-A10,NA
Fujifilm,X-A2,NA
Fujifilm,X-A20,NA
Fujifilm,X-A3,NA
Fujifilm,X-A5,NA
Fujifilm,X-A7,NA
Fujifilm,X-E1,NA
Fujifilm,X-E2,NA
Fujifilm,X-E2S,NA
Fujifilm,X-E3,NA
Fujifilm,X-E4,NA
Fujifilm,X-H1,NA
Fujifilm,X-H2,NA
Fujifilm,X-H2S,NA
Fujifilm,X-M1,NA
Fujifilm,X-Pro1,NA
Fujifilm,X-Pro2,NA
Fujifilm,X-Pro3,NA
Fujifilm,X-S1,NA
Fujifilm,X-S10,NA
Fujifilm,X-T1,NA
Fujifilm,X-T1 IR,NA
Fujifilm,X-T10,NA
Fujifilm,X-T100,NA
Fujifilm,X-T2,NA
Fujifilm,X-T20,NA
Fujifilm,X-T200,NA
Fujifilm,X-T3,NA
Fujifilm,X-T30,NA
Fujifilm,X-T30,II
Fujifilm,X-T4,NA
Fujifilm,X-T5,NA
Fujifilm,X100F,NA
Fujifilm,X100S,NA
Fujifilm,X100V,NA
Fujifilm,X20,NA
Fujifilm,X30,NA
Fujifilm,X70,NA
Fujifilm,XF1,NA
Fujifilm,XF10,NA
Fujifilm,XQ1,NA
Fujifilm,XQ2,NA
RICOH,GR,NA
RICOH,GR,II
GoPro,HERO10 Black,NA
GoPro,HERO7 Black,NA
Google,Pixel 3 Front Standard Camera,NA
Google,Pixel 3 Front Wide Camera,NA
Google,Pixel 3 Rear Camera,NA
Google,Pixel 3 XL Front Standard Camera,NA
Google,Pixel 3 XL Front Wide Camera,NA
Google,Pixel 3 XL Rear Camera,NA
Google,Pixel 4 Front Camera,NA
Google,Pixel 4 Rear Telephoto Camera,NA
Google,Pixel 4 Rear Wide Camera,NA
Google,Pixel 4 XL Front Camera,NA
Google,Pixel 4 XL Rear Telephoto Camera,NA
Google,Pixel 4 XL Rear Wide Camera,NA
Google,Pixel 5 Front Camera,NA
Google,Pixel 5 Rear Main Camera,NA
Google,Pixel 5 Rear Ultra Wide Camera,NA
Google,Pixel 6 Front Camera,NA
Google,Pixel 6 Pro Front Camera,NA
Google,Pixel 6 Pro Rear Main Camera,NA
Google,Pixel 6 Pro Rear Telephoto Camera,NA
Google,Pixel 6 Pro Rear Ultrawide Camera,NA
Google,Pixel 6 Rear Main Camera,NA
Google,Pixel 6 Rear Ultrawide Camera,NA
Google,Pixel 7 Front Camera,NA
Google,Pixel 7 Pro Front Camera,NA
Google,Pixel 7 Pro Telephoto Camera,NA
Google,Pixel 7 Pro Ultrawide Camera,NA
Google,Pixel 7 Pro Wide Camera,NA
Google,Pixel 7 Ultrawide Camera,NA
Google,Pixel 7 Wide Camera,NA
HMD,Global Nokia 9 PureView Front Camera,NA
HMD,Global Nokia 9 PureView Rear Camera,NA
HUAWEI,Honor 20 Pro Rear Main Camera,NA
HUAWEI,Honor 20 Pro Rear Telephoto Camera,NA
HUAWEI,Honor 20 Pro Rear Wide Camera,NA
HUAWEI,Mate 10 Pro Rear Camera,NA
HUAWEI,P30 Pro Rear Main Camera,NA
HUAWEI,P30 Pro Rear Telephoto Camera,NA
HUAWEI,P30 Pro Rear Wide Camera,NA
HUAWEI,P30 Rear Main Camera,NA
HUAWEI,P30 Rear Telephoto Camera,NA
HUAWEI,P30 Rear Wide Camera,NA
Hasselblad,100-20-Coated6,NA
Hasselblad,39-Coated,NA
Hasselblad,50-15-Coated5,NA
Hasselblad,L1D-20c,NA
HUAWEI,P9 Lite,NA
Kodak,Z1015 IS,NA
Kodak,Z980,NA
Kodak,Z981,NA
Kodak,Z990,NA
Konica,Minolta DiMAGE A2,NA
Konica,Minolta DiMAGE A200,NA
Konica,Minolta Maxxum 5D,NA
Konica,Minolta Maxxum 7D,NA
LEICA,CL,NA
LEICA,M (Typ 240),NA
LEICA,M (Typ 262),NA
LEICA,M-D (Typ 262),NA
LEICA,M10,NA
LEICA,M10-D,NA
LEICA,M10-P,NA
LEICA,M10-R,NA
LEICA,M11,NA
LEICA,Q (Typ 116),NA
LEICA,Q2,NA
LEICA,S (Typ 006),NA
LEICA,S (Typ 007),NA
LEICA,S3,NA
LEICA,SL (Typ 601),NA
LEICA,SL2,NA
LEICA,SL2-S,NA
LEICA,T (Typ 701),NA
LEICA,TL,NA
LEICA,TL2,NA
LEICA,X (Typ 113),NA
LEICA,X VARIO (Typ 107),NA
LEICA,X-U (Typ 113),NA
LEICA,X1,NA
LEICA,X2,NA
LG,G7 ThinQ Front Camera,NA
LG,G7 ThinQ Rear Main Camera,NA
LG,G7 ThinQ Rear Wide Camera,NA
LG,G8 ThinQ Front Camera,NA
LG,G8 ThinQ Rear Main Camera,NA
LG,G8 ThinQ Rear Wide Camera,NA
LG,V40 ThinQ Front Standard Camera,NA
LG,V40 ThinQ Rear Main Camera,NA
LG,V40 ThinQ Rear Wide Camera,NA
LG,V50S ThinQ Front Camera,NA
LG,V50S ThinQ Rear Main Camera,NA
LG,V50S ThinQ Rear Wide Camera,NA
LG,V60 ThinQ Front Camera,NA
LG,V60 ThinQ Rear Main Camera,NA
LG,Velvet Front Camera,NA
LG,Velvet Rear Main Camera,NA
LG,Velvet Rear Wide Camera,NA
LG,Wing Front Camera,NA
LG,Wing Rear Main Camera,NA
LG,Wing Rear Wide Camera,NA
Leaf,AFi 54S,NA
Leaf,AFi 65S,NA
Leaf,AFi 75S,NA
Leaf,Aptus 17,NA
Leaf,Aptus 22,NA
Leaf,Aptus 54S,NA
Leaf,Aptus 65,NA
Leaf,Aptus 65S,NA
Leaf,Aptus 75,NA
Leaf,Aptus 75S,NA
Leaf,C-Most,NA
Leaf,Credo 40,NA
Leaf,Credo 50,NA
Leaf,Credo 60,NA
Leaf,Credo 80,NA
Leaf,Valeo 11,NA
Leaf,Valeo 17,NA
Leaf,Valeo 22,NA
Leaf,Valeo 6,NA
LEICA,C (Typ 112),NA
LEICA,C-Lux,NA
LEICA,D-LUX (Typ 109),NA
LEICA,D-LUX 3,NA
LEICA,D-LUX 4,NA
LEICA,D-LUX 5,NA
LEICA,D-LUX 6,NA
LEICA,D-Lux 7,NA
LEICA,D-Lux2,NA
LEICA,DIGILUX 3,NA
LEICA,Digilux 2,NA
LEICA,M8 Digital,NA
LEICA,S2,NA
LEICA,V-LUX (Typ 114),NA
LEICA,V-LUX 1,NA
LEICA,V-LUX 2,NA
LEICA,V-LUX 3,NA
LEICA,V-LUX 4,NA
LEICA,V-Lux 5,NA
LEICA,M8,NA
LEICA,M9,NA
Mamiya,M18,NA
Mamiya,M22,NA
Mamiya,M31,NA
Mamiya,ZD,NA
Minolta,DiMAGE 5,NA
Minolta,DiMAGE 7,NA
Minolta,DiMAGE 7Hi,NA
Minolta,DiMAGE 7i,NA
Minolta,DiMAGE A1,NA
Moto,G Power (2021) Front Camera,NA
Moto,G Power (2021) Rear Macro Camera,NA
Moto,G Power (2021) Rear Wide Camera,NA
Nikon,D810,NA
Nikon,Z 30,NA
Nikon,Z 50,NA
Nikon,Z 7,NA
Nikon,1 AW1,NA
Nikon,1 J1,NA
Nikon,1 J2,NA
Nikon,1 J3,NA
Nikon,1 J4,NA
Nikon,1 J5,NA
Nikon,1 S1,NA
Nikon,1 S2,NA
Nikon,1 V1,NA
Nikon,1 V2,NA
Nikon,1 V3,NA
Nikon,Coolpix 5400,NA
Nikon,Coolpix 8400,NA
Nikon,Coolpix 8700,NA
Nikon,Coolpix 8800,NA
Nikon,Coolpix A,NA
Nikon,Coolpix A1000,NA
Nikon,Coolpix B700,NA
Nikon,Coolpix P1000,NA
Nikon,Coolpix P330,NA
Nikon,Coolpix P340,NA
Nikon,Coolpix P6000,NA
Nikon,Coolpix P7000,NA
Nikon,Coolpix P7100,NA
Nikon,Coolpix P7700,NA
Nikon,Coolpix P7800,NA
Nikon,Coolpix P950,NA
Nikon,D1,NA
Nikon,D100,NA
Nikon,D1H,NA
Nikon,D1X,NA
Nikon,D200,NA
Nikon,D2H,NA
Nikon,D2Hs,NA
Nikon,D2X,NA
Nikon,D2Xs,NA
Nikon,D3,NA
Nikon,D300,NA
Nikon,D3000,NA
Nikon,D300S,NA
Nikon,D3100,NA
Nikon,D3200,NA
Nikon,D3300,NA
Nikon,D3400,NA
Nikon,D3500,NA
Nikon,D3S,NA
Nikon,D3X,NA
Nikon,D4,NA
Nikon,D40,NA
Nikon,D40X,NA
Nikon,D4S,NA
Nikon,D5,NA
Nikon,D50,NA
Nikon,D500,NA
Nikon,D5000,NA
Nikon,D5100,NA
Nikon,D5200,NA
Nikon,D5300,NA
Nikon,D5500,NA
Nikon,D5600,NA
Nikon,D6,NA
Nikon,D60,NA
Nikon,D600,NA
Nikon,D610,NA
Nikon,D70,NA
Nikon,D700,NA
Nikon,D7000,NA
Nikon,D70s,NA
Nikon,D7100,NA
Nikon,D7200,NA
Nikon,D750,NA
Nikon,D7500,NA
Nikon,D780,NA
Nikon,D80,NA
Nikon,D800,NA
Nikon,D800E,NA
Nikon,D810A,NA
Nikon,D850,NA
Nikon,D90,NA
Nikon,Df,NA
Nikon,Z 5,NA
Nikon,Z 6,NA
Nikon,Z 6,II
Nikon,Z 7,NA
Nikon,Z 7,II
Nikon,Z 9,NA
Nikon,Z fc,NA
OM,Digital Solutions OM-1,NA
OM,Digital Solutions OM-5,NA
Olympus,AIR A01,NA
Olympus,C-5050Z,NA
Olympus,C-5060WZ,NA
Olympus,C-7000Z,NA
Olympus,C-7070WZ,NA
Olympus,C-8080WZ,NA
Olympus,E-1,NA
Olympus,E-10,NA
Olympus,E-20,NA
Olympus,E-3,NA
Olympus,E-30,NA
Olympus,E-300,NA
Olympus,E-330,NA
Olympus,E-400,NA
Olympus,E-410,NA
Olympus,E-420,NA
Olympus,E-450,NA
Olympus,E-5,NA
Olympus,E-500,NA
Olympus,E-510,NA
Olympus,E-520,NA
Olympus,E-620,NA
Olympus,E-M1,NA
Olympus,E-M1,II
Olympus,E-M1,III
Olympus,E-M10,NA
Olympus,E-M10,II
Olympus,E-M10,III
Olympus,E-M10,IV
Olympus,E-M1X,NA
Olympus,E-M5,NA
Olympus,E-M5,II
Olympus,E-M5,III
Olympus,E-P1,NA
Olympus,E-P2,NA
Olympus,E-P3,NA
Olympus,E-P5,NA
Olympus,E-P7,NA
Olympus,E-PL1,NA
Olympus,E-PL10,NA
Olympus,E-PL1s,NA
Olympus,E-PL2,NA
Olympus,E-PL3,NA
Olympus,E-PL5,NA
Olympus,E-PL6,NA
Olympus,E-PL7,NA
Olympus,E-PL8,NA
Olympus,E-PL9,NA
Olympus,E-PM1,NA
Olympus,E-PM2,NA
Olympus,PEN-F,NA
Olympus,SH-2,NA
Olympus,SH-3,NA
Olympus,SP-310,NA
Olympus,SP-320,NA
Olympus,SP-350,NA
Olympus,SP-500UZ,NA
Olympus,SP-510UZ,NA
Olympus,SP-550UZ,NA
Olympus,SP-560UZ,NA
Olympus,SP-565UZ,NA
Olympus,SP-570UZ,NA
Olympus,STYLUS 1,NA
Olympus,STYLUS 1s,NA
Olympus,TG-4,NA
Olympus,TG-5,NA
Olympus,TG-6,NA
Olympus,XZ-1,NA
Olympus,XZ-10,NA
Olympus,XZ-2,NA
OnePlus,7T Front Camera,NA
OnePlus,7T Rear Main Camera,NA
OnePlus,8 Front Camera,NA
OnePlus,8 Pro Front Camera,NA
OnePlus,8 Pro Rear Main Camera,NA
OnePlus,8 Rear Main Camera,NA
PENTAX,645D,NA
PENTAX,645Z,NA
PENTAX,K-01,NA
PENTAX,K-1,NA
PENTAX,K-1,II
PENTAX,K-3,NA
PENTAX,K-3,II
PENTAX,K-3,III
PENTAX,K-5,NA
PENTAX,K-5,II
PENTAX,K-5,IIs
PENTAX,K-50,NA
PENTAX,K-500,NA
PENTAX,K-7,NA
PENTAX,K-70,NA
PENTAX,K-S1,NA
PENTAX,K-S2,NA
PENTAX,K-r,NA
PENTAX,K-x,NA
PENTAX,KF,NA
PENTAX,KP,NA
PENTAX,MX-1,NA
PENTAX,Q,NA
PENTAX,Q10,NA
PENTAX,Q7,NA
Panasonic,DC-FZ1000M2,NA
Panasonic,DC-FZ80,NA
Panasonic,DC-G100,NA
Panasonic,DC-G9,NA
Panasonic,DC-G99,NA
Panasonic,DC-GF10,NA
Panasonic,DC-GF9,NA
Panasonic,DC-GH5,NA
Panasonic,DC-GH5M2,NA
Panasonic,DC-GH5S,NA
Panasonic,DC-GH6,NA
Panasonic,DC-GX9,NA
Panasonic,DC-LX100M2,NA
Panasonic,DC-S1,NA
